populacao,ano,sigla_uf,id_municipio
22728,2020,RO,110001
22516,2021,RO,110001
109523,2020,RO,110002
111148,2021,RO,110002
5188,2020,RO,110003
5067,2021,RO,110003
85893,2020,RO,110004
86416,2021,RO,110004
16204,2020,RO,110005
16088,2021,RO,110005
15544,2020,RO,110006
15213,2021,RO,110006
7220,2020,RO,110007
7052,2021,RO,110007
18798,2020,RO,110008
19255,2021,RO,110008
32695,2020,RO,110009
33009,2021,RO,110009
46556,2020,RO,110010
46930,2021,RO,110010
51620,2020,RO,110011
51469,2021,RO,110011
130009,2020,RO,110012
131026,2021,RO,110012
40867,2020,RO,110013
41724,2021,RO,110013
20489,2020,RO,110014
20504,2021,RO,110014
35737,2020,RO,110015
35445,2021,RO,110015
36881,2020,RO,110018
37098,2021,RO,110018
539354,2020,RO,110020
548952,2021,RO,110020
18571,2020,RO,110025
18165,2021,RO,110025
3804,2020,RO,110026
3843,2021,RO,110026
55407,2020,RO,110028
55748,2021,RO,110028
6216,2020,RO,110029
5942,2021,RO,110029
102211,2020,RO,110030
104517,2021,RO,110030
23077,2020,RO,110032
23147,2021,RO,110032
31392,2020,RO,110033
32184,2021,RO,110033
14106,2020,RO,110034
13807,2021,RO,110034
13255,2020,RO,110037
13268,2021,RO,110037
21847,2020,RO,110040
22258,2021,RO,110040
40356,2020,RO,110045
41043,2021,RO,110045
8329,2020,RO,110050
8125,2021,RO,110050
6269,2020,RO,110060
6307,2021,RO,110060
14266,2020,RO,110070
14391,2021,RO,110070
27388,2020,RO,110080
28068,2021,RO,110080
2987,2020,RO,110090
2923,2021,RO,110090
11472,2020,RO,110092
11755,2021,RO,110092
26183,2020,RO,110094
27131,2021,RO,110094
7445,2020,RO,110100
7130,2021,RO,110100
10641,2020,RO,110110
10819,2021,RO,110110
9559,2020,RO,110120
9461,2021,RO,110120
10818,2020,RO,110130
10691,2021,RO,110130
16007,2020,RO,110140
16158,2021,RO,110140
6895,2020,RO,110143
6822,2021,RO,110143
6198,2020,RO,110145
6319,2021,RO,110145
2148,2020,RO,110146
2127,2021,RO,110146
2776,2020,RO,110147
2697,2021,RO,110147
5066,2020,RO,110148
4962,2021,RO,110148
20681,2020,RO,110149
21088,2021,RO,110149
11851,2020,RO,110150
11846,2021,RO,110150
4233,2020,RO,110155
4160,2021,RO,110155
10395,2020,RO,110160
10348,2021,RO,110160
11272,2020,RO,110170
11081,2021,RO,110170
11377,2020,RO,110175
11545,2021,RO,110175
6656,2020,RO,110180
6490,2021,RO,110180
15490,2020,AC,120001
15721,2021,AC,120001
7534,2020,AC,120005
7649,2021,AC,120005
26702,2020,AC,120010
27123,2021,AC,120010
10420,2020,AC,120013
10572,2021,AC,120013
12008,2020,AC,120017
12280,2021,AC,120017
89072,2020,AC,120020
89760,2021,AC,120020
18696,2020,AC,120025
18979,2021,AC,120025
34884,2020,AC,120030
34986,2021,AC,120030
8473,2020,AC,120032
8628,2021,AC,120032
19311,2020,AC,120033
19643,2021,AC,120033
9581,2020,AC,120034
9701,2021,AC,120034
19299,2020,AC,120035
19727,2021,AC,120035
19955,2020,AC,120038
20147,2021,AC,120038
12241,2020,AC,120039
12497,2021,AC,120039
413418,2020,AC,120040
419452,2021,AC,120040
19351,2020,AC,120042
19767,2021,AC,120042
6717,2020,AC,120043
6893,2021,AC,120043
23236,2020,AC,120045
23446,2021,AC,120045
46511,2020,AC,120050
47168,2021,AC,120050
43151,2020,AC,120060
43730,2021,AC,120060
19596,2020,AC,120070
19866,2021,AC,120070
18824,2020,AC,120080
19141,2021,AC,120080
16220,2020,AM,130002
16396,2021,AM,130002
11736,2020,AM,130006
11934,2021,AM,130006
13956,2020,AM,130008
14292,2021,AM,130008
21477,2020,AM,130010
21937,2021,AM,130010
22359,2020,AM,130014
22739,2021,AM,130014
20398,2020,AM,130020
20868,2021,AM,130020
40290,2020,AM,130030
41005,2021,AM,130030
27638,2020,AM,130040
27772,2021,AM,130040
32483,2020,AM,130050
32919,2021,AM,130050
43935,2020,AM,130060
44873,2021,AM,130060
20093,2020,AM,130063
20503,2021,AM,130063
19626,2020,AM,130068
20040,2021,AM,130068
34635,2020,AM,130070
34958,2021,AM,130070
41748,2020,AM,130080
42328,2021,AM,130080
13283,2020,AM,130083
13482,2021,AM,130083
15807,2020,AM,130090
15981,2021,AM,130090
28508,2020,AM,130100
28719,2021,AM,130100
38348,2020,AM,130110
38820,2021,AM,130110
30846,2020,AM,130115
31459,2021,AM,130115
85910,2020,AM,130120
86713,2021,AM,130120
29168,2020,AM,130130
29691,2021,AM,130130
35700,2020,AM,130140
36121,2021,AM,130140
20393,2020,AM,130150
20748,2021,AM,130150
17005,2020,AM,130160
16409,2021,AM,130160
16937,2020,AM,130165
17193,2021,AM,130165
56144,2020,AM,130170
57195,2021,AM,130170
30436,2020,AM,130180
31172,2021,AM,130180
49011,2020,AM,130185
49718,2021,AM,130185
102701,2020,AM,130190
104046,2021,AM,130190
7814,2020,AM,130195
7777,2021,AM,130195
9230,2020,AM,130200
9312,2021,AM,130200
2251,2020,AM,130210
1755,2021,AM,130210
15106,2020,AM,130220
15495,2021,AM,130220
13886,2020,AM,130230
13462,2021,AM,130230
46882,2020,AM,130240
47685,2021,AM,130240
98502,2020,AM,130250
99613,2021,AM,130250
33049,2020,AM,130255
33981,2021,AM,130255
2219580,2020,AM,130260
2255903,2021,AM,130260
56583,2020,AM,130270
57405,2021,AM,130270
18261,2020,AM,130280
18298,2021,AM,130280
65040,2020,AM,130290
66159,2021,AM,130290
21443,2020,AM,130300
21710,2021,AM,130300
38026,2020,AM,130310
38665,2021,AM,130310
19928,2020,AM,130320
20395,2021,AM,130320
26046,2020,AM,130330
26443,2021,AM,130330
115363,2020,AM,130340
116439,2021,AM,130340
19522,2020,AM,130350
19616,2021,AM,130350
37193,2020,AM,130353
38095,2021,AM,130353
34106,2020,AM,130356
34856,2021,AM,130356
25865,2020,AM,130360
26566,2021,AM,130360
21243,2020,AM,130370
20889,2021,AM,130370
46303,2020,AM,130380
47031,2021,AM,130380
40073,2020,AM,130390
40837,2021,AM,130390
14352,2020,AM,130395
14678,2021,AM,130395
9230,2020,AM,130400
9289,2021,AM,130400
67182,2020,AM,130406
68502,2021,AM,130406
17015,2020,AM,130410
16876,2021,AM,130410
59547,2020,AM,130420
59250,2021,AM,130420
18897,2020,AM,130423
19038,2021,AM,130423
13690,2020,AM,130426
13839,2021,AM,130426
16130,2020,AM,130430
16007,2021,AM,130430
23585,2020,AM,130440
24098,2021,AM,130440
13185,2020,RR,140002
13561,2021,RR,140002
15380,2020,RR,140005
15249,2021,RR,140005
419652,2020,RR,140010
436591,2021,RR,140010
12557,2020,RR,140015
12701,2021,RR,140015
18799,2020,RR,140017
19257,2021,RR,140017
22283,2020,RR,140020
22635,2021,RR,140020
10383,2020,RR,140023
10595,2021,RR,140023
12296,2020,RR,140028
12637,2021,RR,140028
18172,2020,RR,140030
18482,2021,RR,140030
11532,2020,RR,140040
11772,2021,RR,140040
18913,2020,RR,140045
20108,2021,RR,140045
30782,2020,RR,140047
31387,2021,RR,140047
8348,2020,RR,140050
8492,2021,RR,140050
8110,2020,RR,140060
8232,2021,RR,140060
10789,2020,RR,140070
11014,2021,RR,140070
159080,2020,PA,150010
160439,2021,PA,150010
7486,2020,PA,150013
7536,2021,PA,150013
55669,2020,PA,150020
55744,2021,PA,150020
39567,2020,PA,150030
39910,2021,PA,150030
27615,2020,PA,150034
27797,2021,PA,150034
57092,2020,PA,150040
57390,2021,PA,150040
34076,2020,PA,150050
34044,2021,PA,150050
115969,2020,PA,150060
117320,2021,PA,150060
29688,2020,PA,150070
30091,2021,PA,150070
535547,2020,PA,150080
540410,2021,PA,150080
28607,2020,PA,150085
29312,2021,PA,150085
46471,2020,PA,150090
46937,2021,PA,150090
31773,2020,PA,150095
32200,2021,PA,150095
16404,2020,PA,150100
16421,2021,PA,150100
31325,2020,PA,150110
31967,2021,PA,150110
48459,2020,PA,150120
49454,2021,PA,150120
3262,2020,PA,150125
3239,2021,PA,150125
127027,2020,PA,150130
129333,2021,PA,150130
1499641,2020,PA,150140
1506420,2021,PA,150140
17839,2020,PA,150145
17944,2021,PA,150145
63768,2020,PA,150150
64780,2021,PA,150150
17118,2020,PA,150157
17254,2021,PA,150157
16530,2020,PA,150160
16769,2021,PA,150160
128914,2020,PA,150170
130122,2021,PA,150170
14983,2020,PA,150172
14883,2021,PA,150172
7368,2020,PA,150175
7357,2021,PA,150175
67332,2020,PA,150178
68597,2021,PA,150178
103497,2020,PA,150180
104280,2021,PA,150180
29427,2020,PA,150190
29717,2021,PA,150190
34609,2020,PA,150195
35307,2021,PA,150195
24064,2020,PA,150200
24355,2021,PA,150200
139364,2020,PA,150210
140814,2021,PA,150210
38103,2020,PA,150215
39103,2021,PA,150215
69431,2020,PA,150220
69828,2021,PA,150220
54425,2020,PA,150230
54545,2021,PA,150230
203251,2020,PA,150240
205667,2021,PA,150240
23948,2020,PA,150250
24175,2021,PA,150250
12131,2020,PA,150260
12175,2021,PA,150260
47991,2020,PA,150270
48115,2021,PA,150270
33781,2020,PA,150275
34236,2021,PA,150275
13761,2020,PA,150276
14044,2021,PA,150276
17846,2020,PA,150277
17764,2021,PA,150277
34994,2020,PA,150280
35530,2021,PA,150280
14587,2020,PA,150285
14776,2021,PA,150285
40584,2020,PA,150290
41093,2021,PA,150290
60469,2020,PA,150293
61206,2021,PA,150293
